Comment,Designator,Footprint,LCSC
0679L1000-01,F1,FUSC6125X279N,
TestPoint_Alt,TP4,TestPoint_Pad_1.5x1.5mm,
ESP32-WROOM-32,U1,ESP32-WROOM-32,
Screw_Terminal_01x02,J2,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",
0.1uF,C3,C_0402_1005Metric,
SW_SPST,SW1,SolderWire-0.75sqmm_1x02_P4.8mm_D1.25mm_OD2.3mm,
330,R1,R_0402_1005Metric,
S1G,D4,DIOM5227X250N,
SRD-05VDC-SL-C,K1,SRD,
SW_Push,SW2,SW_PUSH_6mm,
Screw_Terminal_01x02,J1,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",
TestPoint_Alt,TP9,TestPoint_Pad_1.5x1.5mm,
SRD-05VDC-SL-C,K4,SRD,
330,R3,R_0402_1005Metric,
Conn_01x03_Male,J7,PinHeader_1x03_P2.54mm_Vertical,
100uF,C2,C_Radial_D16.0mm_H25.0mm_P7.50mm,
NCU18XH103F6SRB,RT1,THRMC1608X95N,
Screw_Terminal_01x02,J3,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",
TestPoint_Alt,TP3,TestPoint_Pad_1.5x1.5mm,
LED,D2,LED_0805_2012Metric,
1M,R6,R_0603_1608Metric,
S1G,D3,DIOM5227X250N,
TestPoint_Alt,TP2,TestPoint_Pad_1.5x1.5mm,
330,R2,R_0402_1005Metric,
CD-DF410S,BR2,CD-DF410S,
SS8050-G,Q3,SOT95P240X115-3N,
TestPoint_Alt,TP8,TestPoint_Pad_1.5x1.5mm,
TestPoint_Alt,TP1,TestPoint_Pad_1.5x1.5mm,
LED,D6,LED_0805_2012Metric,
NCP1117-3.3_SOT223,U2,SOT-223-3_TabPin2,
SRD-05VDC-SL-C,K3,SRD,
10k,R5,R_0402_1005Metric,
SS8050-G,Q2,SOT95P240X115-3N,
SRD-05VDC-SL-C,K2,SRD,
10uF,C6,C_0603_1608Metric,
Conn_01x02_Male,J4,PinHeader_1x02_P2.54mm_Vertical,
TestPoint_Alt,TP6,TestPoint_Pad_1.5x1.5mm,
0.1uF,C5,C_0402_1005Metric,
S1G,D7,DIOM5227X250N,
CD-DF410S,BR1,CD-DF410S,
BA17805FP-E2,IC1,ROHM_TO-252-3,
10uF,C9,C_0603_1608Metric,
LED,D1,LED_0805_2012Metric,
22uF,C7,C_0603_1608Metric,
10k,R7,R_0402_1005Metric,
Conn_01x02_Male,J5,PinHeader_1x02_P2.54mm_Vertical,
0.1uF,C4,C_0402_1005Metric,
0.1uF,C8,C_0402_1005Metric,
1000uF,C1,C_Radial_D10.0mm_H16.0mm_P5.00mm,
330,R4,R_0402_1005Metric,
TestPoint_Alt,TP5,TestPoint_Pad_1.5x1.5mm,
Conn_01x03_Male,J6,PinHeader_1x03_P2.54mm_Horizontal,
TestPoint_Alt,TP7,TestPoint_Pad_1.5x1.5mm,
SS8050-G,Q4,SOT95P240X115-3N,
SS8050-G,Q1,SOT95P240X115-3N,
S1G,D8,DIOM5227X250N,
LED,D5,LED_0805_2012Metric,
SW_Push,SW3,SW_PUSH_6mm,
0679L1000-01,F2,FUSC6125X279N,
